setting,accuracy,valid_responses,total_questions
LLaMA Direct vs. Original,0.6786004882017901,1229,1300
LLaMA CoT vs. Original,0.7121332275971451,1261,1300
LLaMA Corrupted CoT vs. Original,0.4561675717610551,1289,1300
LLaMA Partial CoT vs. Original,0.7171381031613977,1202,1300
StableLM2 Direct vs. Original,0.5726429675425039,1294,1300
StableLM2 with CoT vs. Original,0.5886909372579395,1291,1300
StableLM2 with Corrupted CoT vs. Original,0.4805900621118012,1288,1300
StableLM2 with Partial CoT vs. Original,0.5714285714285714,1239,1300
