setting,accuracy,valid_responses,total_questions
Gemma3 Direct vs. Original,0.7372881355932204,1298,1298
Gemma3 CoT vs. Original,0.7932098765432098,1296,1298
Gemma3 Corrupted CoT vs. Original,0.40372670807453415,1288,1298
Gemma3 Partial CoT vs. Original,0.7742681047765794,1298,1298
Phi Direct vs. Original,0.5501222493887531,1227,1298
Phi with CoT vs. Original,0.6350194552529183,1285,1298
Phi with Corrupted CoT vs. Original,0.45803921568627454,1275,1298
Phi with Partial CoT vs. Original,0.5815047021943573,1276,1298
