English - Hindi Align score,English - Hindi rouge score
0.12445557117462158,0.20087336244541484
0.15059404075145721,0.24615384615384614
0.2516186833381653,0.25
0.2281150072813034,0.2481751824817518
0.37974199652671814,0.178030303030303
0.44304874539375305,0.23136246786632395
0.34367454051971436,0.21404682274247488
0.3990287780761719,0.30030030030030025
0.4010733962059021,0.2549371633752244
0.4419342875480652,0.2545454545454546
0.4560404121875763,0.34934497816593885
0.29713135957717896,0.18025751072961377
0.36208510398864746,0.18858560794044665
0.2594221532344818,0.17964071856287425
0.32132193446159363,0.19913419913419914
0.3863905668258667,0.2205029013539652
0.4732690751552582,0.37940379403794044
0.21281373500823975,0.2565597667638484
0.3224441111087799,0.1933534743202417
0.250916451215744,0.266173752310536
0.22189505398273468,0.040816326530612235
0.47952792048454285,0.2643171806167401
0.4104185402393341,0.2290748898678414
0.26891204714775085,0.2105263157894737
0.4446634352207184,0.22289156626506026
0.3014247715473175,0.2238442822384428
0.3050859570503235,0.27777777777777773
0.3825640380382538,0.33163265306122447
0.5006683468818665,0.23846153846153845
0.35945937037467957,0.07407407407407407
0.4780080318450928,0.21978021978021978
0.4074633717536926,0.19277108433734938
0.21754314005374908,0.1739130434782609
0.455798864364624,0.2615803814713897
0.2786767780780792,0.24603174603174602
0.4703076481819153,0.32055749128919864
0.27065199613571167,0.19594594594594594
0.289551705121994,0.21406727828746178
0.2798561453819275,0.3051771117166212
0.3335179090499878,0.13184357541899444
0.41513901948928833,0.284263959390863
0.1354953944683075,0.15320910973084886
0.2907620966434479,0.2935779816513761
0.47221481800079346,0.2198581560283688
0.3391290605068207,0.27179487179487183
0.27577900886535645,0.1990521327014218
0.15753968060016632,0.3085106382978723
0.5790198445320129,0.33663366336633666
0.20921853184700012,0.22310756972111556
0.3018300235271454,0.33613445378151263
0.24954278767108917,0.16699801192842942
0.2295515537261963,0.20707070707070704
0.42716988921165466,0.15780730897009967
0.24565759301185608,0.2493368700265252
0.5416081547737122,0.376
0.45367431640625,0.2719033232628399
0.3306235074996948,0.1956521739130435
0.2546778619289398,0.20588235294117646
0.28564760088920593,0.24087591240875914
0.2840348482131958,0.20512820512820515
0.227174773812294,0.19999999999999998
0.3141709566116333,0.242152466367713
0.39333805441856384,0.2280373831775701
0.3015097975730896,0.15811965811965814
0.3052166998386383,0.21298701298701297
0.20376995205879211,0.28474576271186436
0.1829075813293457,0.2408026755852843
0.24080154299736023,0.3297491039426524
0.26977136731147766,0.30275229357798167
0.3521302342414856,0.25270758122743686
0.417925626039505,0.1940700808625337
0.43801048398017883,0.2566844919786096
0.21141818165779114,0.2631578947368421
0.3824002146720886,0.20512820512820512
0.2986324429512024,0.21529745042492918
0.2301172912120819,0.19767441860465118
0.4501969516277313,0.391578947368421
0.227972149848938,0.282258064516129
0.22173984348773956,0.1934156378600823
0.34541913866996765,0.27522935779816515
0.25753530859947205,0.2941176470588235
0.5250701904296875,0.3571428571428571
0.48958712816238403,0.20037105751391465
0.29223495721817017,0.19251336898395724
0.4656134843826294,0.10112359550561799
0.12977170944213867,0.15019762845849804
0.26354438066482544,0.21969696969696972
0.38492849469184875,0.17664670658682635
0.33387383818626404,0.1802575107296137
0.37175995111465454,0.23750000000000002
0.2967616617679596,0.18018018018018017
0.31442081928253174,0.27
0.5719652771949768,0.25048923679060664
0.44620880484580994,0.19141914191419143
0.41246989369392395,0.3210702341137124
0.3739245533943176,0.332425068119891
0.4309978485107422,0.24316109422492402
0.19139961898326874,0.20547945205479454
0.47994789481163025,0.2534435261707989
0.25304317474365234,0.22508038585209006
0.24957619607448578,0.31292517006802717
0.22323673963546753,0.2142857142857143
0.30689355731010437,0.3002680965147453
0.26739782094955444,0.1776061776061776
0.39200451970100403,0.1350210970464135
0.4395558536052704,0.36909871244635195
0.3478297293186188,0.2138728323699422
0.3361324667930603,0.19889502762430938
0.27249616384506226,0.20218579234972678
0.3785671889781952,0.20392156862745098
0.2691408395767212,0.13550135501355012
0.3426293134689331,0.17690417690417692
0.12215360254049301,0.16170212765957448
0.31828489899635315,0.2857142857142857
0.2649272084236145,0.19626168224299065
0.4914606213569641,0.2899159663865546
0.4622446894645691,0.18248175182481752
0.579345166683197,0.30851063829787234
0.3876873552799225,0.3241590214067278
0.33385905623435974,0.1908713692946058
0.2297351211309433,0.21645021645021645
0.42675748467445374,0.2825278810408922
0.3849456012248993,0.2131979695431472
0.3454557955265045,0.2926829268292683
0.3374490439891815,0.19753086419753083
0.03548002243041992,0.17948717948717946
0.2867000699043274,0.10344827586206896
0.5189114212989807,0.3132530120481928
0.45642516016960144,0.18249534450651772
0.3983675241470337,0.22360248447204967
0.1403813362121582,0.20553359683794467
0.6501227617263794,0.3431952662721894
0.48762908577919006,0.2546816479400749
0.4589657485485077,0.13768115942028986
0.28211158514022827,0.2796610169491526
0.517950177192688,0.2396694214876033
0.16328173875808716,0.27499999999999997
0.3965657651424408,0.3094555873925502
0.36920303106307983,0.26979472140762467
0.3269508481025696,0.2366863905325444
0.35338303446769714,0.4276315789473684
0.32098570466041565,0.19879518072289157
0.3928430378437042,0.19178082191780824
0.3721858263015747,0.22641509433962262
0.3150485157966614,0.2336448598130841
0.4796546995639801,0.2681159420289855
0.2841908633708954,0.199288256227758
0.0698675587773323,0.18298555377207062
0.28613242506980896,0.275
0.3494507372379303,0.3061889250814332
0.5299176573753357,0.17845117845117844
0.27922096848487854,0.19746835443037974
0.38054099678993225,0.19161676646706585
0.25693824887275696,0.24164524421593828
0.3386571705341339,0.2074688796680498
0.34818288683891296,0.23333333333333334
0.32600656151771545,0.23199999999999998
0.36761268973350525,0.251497005988024
0.3814920485019684,0.24657534246575338
0.2949700355529785,0.17204301075268819
0.24871666729450226,0.1829652996845426
0.4146638512611389,0.24691358024691357
0.3916547894477844,0.2085889570552147
0.40497317910194397,0.32745591939546603
0.19248101115226746,0.18039215686274512
0.2758607268333435,0.27169811320754716
0.2677857577800751,0.16935483870967744
0.40847447514533997,0.24170616113744073
0.34158292412757874,0.2
0.24448207020759583,0.21764705882352942
0.358580082654953,0.19607843137254902
0.4185820519924164,0.2661290322580645
0.43813556432724,0.27538726333907054
0.4063276946544647,0.22712933753943215
0.427495539188385,0.24586288416075652
0.19607314467430115,0.20754716981132074
0.6082284450531006,0.3221476510067114
0.33726179599761963,0.15
0.2327626645565033,0.19463087248322147
0.56719571352005,0.34782608695652173
0.5403569340705872,0.273037542662116
0.28459277749061584,0.1871657754010695
0.3567104637622833,0.22754491017964074
0.3736788034439087,0.1786743515850144
0.36190056800842285,0.24817518248175185
0.36324480175971985,0.2782608695652174
0.4481298625469208,0.12947189097103917
0.16317367553710938,0.1706484641638225
0.34501323103904724,0.23999999999999996
0.2911125421524048,0.2289719626168224
0.49377381801605225,0.39766081871345027
0.31421470642089844,0.29411764705882354
0.13140392303466797,0.17889908256880732
0.17508360743522644,0.2448979591836735
0.6165452003479004,0.24000000000000002
0.39275023341178894,0.3387622149837134
0.20330630242824554,0.18604651162790697
0.3671592175960541,0.2643678160919541
0.5461389422416687,0.30193236714975846
0.5838657021522522,0.1762820512820513
0.3851100206375122,0.3297872340425532
0.3758520483970642,0.13843888070692195
0.1990688443183899,0.25925925925925924
0.32843300700187683,0.21261261261261263
0.28209391236305237,0.23481781376518218
0.4402404725551605,0.2174535050071531
0.20754463970661163,0.21908127208480566
0.5713323950767517,0.2824427480916031
0.4745411276817322,0.19534883720930232
0.15351474285125732,0.23054755043227665
0.311122328042984,0.05263157894736842
0.40570318698883057,0.2342007434944238
0.4053562879562378,0.2711864406779661
0.2797277569770813,0.3095823095823096
0.30585989356040955,0.21439509954058195
0.28187716007232666,0.24475524475524474
0.22219087183475494,0.2509225092250923
0.24704742431640625,0.2575757575757576
0.43764543533325195,0.32870370370370366
0.3163642883300781,0.14137214137214135
0.37528088688850403,0.27988338192419826
0.4145314395427704,0.3037974683544304
0.5186938047409058,0.21649484536082475
0.40758007764816284,0.3017241379310345
0.25790220499038696,0.16129032258064516
0.43994131684303284,0.26107226107226106
0.35709089040756226,0.27299703264094954
0.23471862077713013,0.21639344262295082
0.3014656901359558,0.21710526315789475
0.24693410098552704,0.21686746987951808
0.44383251667022705,0.26578073089700993
0.11120758950710297,0.3283582089552239
0.2963516116142273,0.2692307692307692
0.30596017837524414,0.17985611510791366
0.2976454198360443,0.22222222222222224
0.3003612160682678,0.1933842239185751
0.49832630157470703,0.17032967032967034
0.01102688442915678,0.31775700934579443
0.4943102300167084,0.2451612903225806
0.4003693759441376,0.2521739130434783
0.3557497262954712,0.2045929018789144
0.3956165015697479,0.27007299270072993
0.24262025952339172,0.2302158273381295
0.4654943645000458,0.25742574257425743
0.552269458770752,0.27760252365930604
0.4832026958465576,0.2427350427350427
0.3119358420372009,0.19047619047619047
0.37538838386535645,0.2906574394463668
0.21449756622314453,0.18604651162790697
0.34804442524909973,0.34375
0.2464924454689026,0.05
0.4192916750907898,0.33009708737864074
0.4883052110671997,0.2346368715083799
0.48585671186447144,0.1888111888111888
0.2709616422653198,0.1981981981981982
0.3155521750450134,0.2730627306273063
0.36029982566833496,0.2532467532467533
0.42250168323516846,0.1805225653206651
0.15302632749080658,0.2624113475177305
0.3827647268772125,0.2219215155615697
0.29012271761894226,0.2628865979381443
0.3670133948326111,0.2424242424242424
0.2568799555301666,0.36097560975609755
0.03789864853024483,0.27436823104693137
0.49126532673835754,0.303448275862069
0.230686217546463,0.24657534246575347
0.3659934997558594,0.25913621262458475
0.3069249987602234,0.25
0.8398742079734802,0.2857142857142857
0.5450342297554016,0.33043478260869563
0.266323447227478,0.26735218508997427
0.27704477310180664,0.24521072796934865
0.377716600894928,0.28089887640449435
0.3480004072189331,0.1776061776061776
0.4445957839488983,0.33447098976109213
0.32641294598579407,0.19776119402985076
0.4124542772769928,0.19786096256684488
0.25149333477020264,0.3190661478599222
0.31503698229789734,0.17613636363636362
0.3306121230125427,0.22317596566523604
0.8179180026054382,0.46464646464646464
0.38583746552467346,0.26714801444043323
0.21698957681655884,0.27091633466135456
0.264015793800354,0.1575091575091575
0.3575667142868042,0.24427480916030533
0.31187576055526733,0.3717472118959107
0.3310680687427521,0.18099547511312214
0.2884995937347412,0.07243460764587525
0.47162771224975586,0.27624309392265195
0.4031091332435608,0.22572178477690288
0.37479645013809204,0.14593698175787728
0.39566290378570557,0.2282608695652174
0.46358799934387207,0.19879518072289157
0.4703863859176636,0.2816229116945107
0.276284396648407,0.1716937354988399
0.4856730103492737,0.3058350100603622
0.18769632279872894,0.24500000000000002
0.25152313709259033,0.2272727272727273
0.37490206956863403,0.15478615071283094
0.383749395608902,0.17365269461077845
0.8617400527000427,0.3261802575107296
0.303848534822464,0.17647058823529413
0.2900550961494446,0.2978723404255319
0.39736682176589966,0.21561338289962828
0.47059598565101624,0.30701754385964913
0.3421720564365387,0.16580310880829016
0.19026270508766174,0.192090395480226
0.46662458777427673,0.2651685393258427
0.2832885682582855,0.20093457943925233
0.23245282471179962,0.17061611374407584
0.44476354122161865,0.1863799283154122
0.11251004040241241,0.2214022140221402
0.7010681629180908,0.48888888888888893
0.17386890947818756,0.29437229437229434
0.33689790964126587,0.16052060737527116
0.21253210306167603,0.276657060518732
0.2290162444114685,0.2360248447204969
0.349795401096344,0.23650385604113114
0.26326945424079895,0.25630252100840334
0.2133553922176361,0.18556701030927836
0.16716976463794708,0.26392961876832843
0.49069100618362427,0.26282051282051283
0.3693913519382477,0.2366992399565689
0.44540491700172424,0.21864951768488744
0.4042777717113495,0.2361111111111111
0.3089869022369385,0.2211764705882353
0.2655302882194519,0.28975265017667845
0.323246031999588,0.4017857142857143
0.31612634658813477,0.2584615384615384
0.47753074765205383,0.22429906542056074
0.46116259694099426,0.2090163934426229
0.3519061803817749,0.23668639053254437
0.1615077704191208,0.13333333333333333
