setting,accuracy,valid_responses,total_questions
LLaMA Direct vs. Original,0.6786004882017901,1229,1300
LLaMA CoT vs. Original,0.7121332275971451,1261,1300
LLaMA Corrupted CoT vs. Original,0.4561675717610551,1289,1300
LLaMA Partial CoT vs. Original,0.7171381031613977,1202,1300
SmolLM2 Direct vs. Original,0.5315384615384615,1300,1300
SmolLM2 with CoT vs. Original,0.6207692307692307,1300,1300
SmolLM2 with Corrupted CoT vs. Original,0.45692307692307693,1300,1300
SmolLM2 with Partial CoT vs. Original,0.5353846153846153,1300,1300
