setting,accuracy
LLaMA Direct vs. Original,45.01639334720207
LLaMA CoT vs. Original,38.6911256635389
LLaMA Corrupted CoT vs. Original,7.2211762056357
LLaMA Partial CoT vs. Original,44.08847201401909
Phi4 Direct vs. Original,5.853720673689733
Phi4 w/ CoT vs. Original,20.55016666041983
Phi4 w/ Corrupted CoT vs. Original,4.70222238140949
Phi4 w/ Partial CoT vs. Original,6.616368294108119
